Date,Temp,Wspeed,Wdirection,Humidity,PM10,PM2.5,O3,NO2,CO,SO
2017-01-01 1:00,0,1.4,20,78,77,63,0.002,0.068,1.3,0.006
2017-01-01 2:00,-0.3,1.9,50,81,76,63,0.002,0.066,1.4,0.006
2017-01-01 3:00,-0.7,2,50,84,73,57,0.002,0.063,1.2,0.005
2017-01-01 4:00,-1.1,1.6,20,85,67,55,0.002,0.053,1.1,0.005
2017-01-01 5:00,-1.4,1.4,50,86,66,54,0.002,0.051,1.1,0.004
2017-01-01 6:00,-1.5,1.6,20,87,66,55,0.002,0.05,1.1,0.004
2017-01-01 7:00,-1.5,1.4,20,87,70,56,0.002,0.05,1.1,0.005
2017-01-01 8:00,-1.3,1.4,20,87,69,58,0.002,0.05,1,0.004
2017-01-01 9:00,-0.4,1.6,20,83,70,55,0.002,0.046,0.9,0.005
2017-01-01 10:00,0.8,2.1,50,77,73,55,0.002,0.046,0.9,0.005
2017-01-01 11:00,2.5,1.9,50,71,77,61,0.003,0.046,0.9,0.005
2017-01-01 12:00,4,1.3,50,69,82,68,0.003,0.052,1,0.005
2017-01-01 13:00,5.1,1.4,20,65,92,76,0.004,0.059,1,0.005
2017-01-01 14:00,6.7,0.7,340,61,95,77,0.004,0.061,1,0.006
2017-01-01 15:00,6.9,0.9,230,65,90,71,0.01,0.052,0.7,0.007
2017-01-01 16:00,6.8,1.2,230,67,82,62,0.009,0.054,0.7,0.007
2017-01-01 17:00,6.5,0.7,20,69,82,61,0.006,0.058,0.7,0.007
2017-01-01 18:00,5.6,2.4,50,70,87,66,0.002,0.068,0.9,0.006
2017-01-01 19:00,4.8,2.2,50,73,94,70,0.002,0.069,1.1,0.006
2017-01-01 20:00,4.2,1.9,70,73,95,72,0.002,0.065,1,0.006
2017-01-01 21:00,4,2.6,50,74,94,73,0.002,0.058,1,0.006
2017-01-01 22:00,3.9,1.4,20,75,92,71,0.002,0.057,0.9,0.005
2017-01-01 23:00,3.9,1.4,20,75,91,73,0.002,0.059,1,0.005
2017-01-02 0:00,3.9,1.5,20,75,94,70,0.002,0.059,1,0.005
2017-01-02 1:00,3.9,2.1,50,75,92,71,0.002,0.056,,0.005
2017-01-02 2:00,3.8,2.2,20,77,91,73,0.002,0.057,1.1,0.005
2017-01-02 3:00,3.7,1.7,50,76,92,72,0.002,0.054,1,0.005
2017-01-02 4:00,3.7,1.5,20,77,90,71,0.002,0.052,0.9,0.005
2017-01-02 5:00,3.7,1.5,20,80,87,72,0.002,0.053,1,0.005
2017-01-02 6:00,3.6,1.1,20,89,89,74,0.002,0.053,1,0.005
2017-01-02 7:00,3.6,1.1,360,88,89,69,0.002,0.054,1,0.005
2017-01-02 8:00,3.8,1.4,20,87,86,67,0.002,0.056,1.1,0.005
2017-01-02 9:00,4.1,0.9,360,87,84,68,0.002,0.061,1.3,0.005
2017-01-02 10:00,5.2,2.4,230,86,86,66,0.002,0.06,1.4,0.005
2017-01-02 11:00,6.3,2.3,230,82,72,53,0.004,0.053,0.6,0.005
2017-01-02 12:00,7.6,2.1,230,70,71,52,0.007,0.056,0.7,0.005
2017-01-02 13:00,8.1,3.1,230,69,80,59,0.028,0.037,0.6,0.005
2017-01-02 14:00,9.2,3.1,200,59,98,75,0.037,0.032,0.7,0.006
2017-01-02 15:00,8.3,3.6,250,64,115,87,0.042,0.027,0.8,0.006
2017-01-02 16:00,8,3.2,250,65,128,93,0.041,0.03,0.9,0.006
2017-01-02 17:00,7.1,2.3,250,69,138,102,0.04,0.032,0.9,0.007
2017-01-02 18:00,6.4,2.1,270,73,146,107,0.033,0.038,0.9,0.007
2017-01-02 19:00,6,2,250,78,152,112,0.023,0.047,0.9,0.006
2017-01-02 20:00,5,3.2,250,81,154,115,0.023,0.045,0.9,0.006
2017-01-02 21:00,4.3,3.1,270,84,144,107,0.023,0.041,0.9,0.006
2017-01-02 22:00,3.7,3,290,78,139,104,0.016,0.044,0.9,0.005
2017-01-02 23:00,2.8,2.8,320,76,137,104,0.032,0.028,0.9,0.007
2017-01-03 0:00,1.8,1.5,360,79,139,103,0.04,0.02,0.9,0.007
2017-01-03 1:00,1,2.6,270,82,141,105,0.032,0.026,0.9,0.007
2017-01-03 2:00,0.2,1.4,270,83,139,100,0.03,0.026,0.9,0.006
2017-01-03 3:00,-0.7,0.8,360,79,127,89,0.029,0.024,0.9,0.006
2017-01-03 4:00,-1,2.2,270,72,110,78,0.028,0.023,0.8,0.005
2017-01-03 5:00,-1.3,1.9,290,73,93,67,0.023,0.029,0.7,0.005
2017-01-03 6:00,-1.8,1.4,270,73,90,63,0.017,0.035,0.8,0.005
2017-01-03 7:00,-2.1,1.4,250,72,86,59,0.01,0.045,0.7,0.005
2017-01-03 8:00,-2.1,1.2,270,67,76,52,0.005,0.051,0.8,0.005
2017-01-03 9:00,-1.4,0.1,0,60,73,48,0.011,0.046,0.7,0.005
2017-01-03 10:00,1.1,0.8,250,55,78,51,0.005,0.057,0.9,0.005
2017-01-03 11:00,4.1,1.2,200,53,81,54,0.008,0.054,0.8,0.005
2017-01-03 12:00,5.9,2.4,200,44,81,56,0.007,0.063,0.9,0.005
2017-01-03 13:00,7,3,200,39,76,53,0.012,0.054,0.7,0.006
2017-01-03 14:00,7,3.2,250,43,76,54,0.01,0.058,0.7,0.005
2017-01-03 15:00,7.2,3.7,250,47,75,50,0.023,0.039,0.5,0.005
2017-01-03 16:00,6.9,3.3,230,48,55,35,0.023,0.038,0.4,0.005
2017-01-03 17:00,5.3,2.8,270,56,46,31,0.018,0.042,0.4,0.005
2017-01-03 18:00,3.8,2.6,270,60,39,23,0.008,0.054,0.4,0.004
2017-01-03 19:00,2.8,1.9,270,61,36,20,0.002,0.063,0.5,0.004
2017-01-03 20:00,2.2,2.1,270,61,36,22,0.001,0.066,0.5,0.004
2017-01-03 21:00,1.8,1.8,270,60,34,20,0.002,0.069,0.6,0.004
2017-01-03 22:00,1.7,1.6,270,63,34,21,0.002,0.072,0.7,0.005
2017-01-03 23:00,1.2,0.9,290,68,34,22,0.002,0.071,0.7,0.006
2017-01-04 0:00,1,0.4,0,71,34,22,0.002,0.073,0.9,0.006
2017-01-04 1:00,1.8,0.2,0,72,36,22,0.002,0.071,0.9,0.006
2017-01-04 2:00,1.9,0.7,360,70,33,25,0.002,0.068,0.9,0.005
2017-01-04 3:00,2.1,0.5,20,70,31,21,0.002,0.066,0.9,0.005
2017-01-04 4:00,2.2,0.7,20,70,31,21,0.002,0.064,0.9,0.005
2017-01-04 5:00,2.5,1,20,72,33,23,0.002,0.063,0.9,0.005
2017-01-04 6:00,2.5,1.1,360,74,35,24,0.002,0.062,0.9,0.005
2017-01-04 7:00,2.5,1.2,20,74,39,27,0.002,0.066,1,0.006
2017-01-04 8:00,1.9,0.8,360,77,40,30,0.002,0.068,1.2,0.006
2017-01-04 9:00,1.9,0.9,360,73,44,31,0.002,0.075,1.5,0.006
2017-01-04 10:00,4,2.4,270,75,53,36,0.003,0.076,1.6,0.006
2017-01-04 11:00,6,2.4,270,65,74,53,0.015,0.047,0.9,0.006
2017-01-04 12:00,6.4,3.5,270,56,83,57,0.023,0.04,0.8,0.006
2017-01-04 13:00,7.7,2.9,250,51,82,56,0.01,0.061,0.9,0.006
2017-01-04 14:00,8.5,3.5,230,45,80,56,0.017,0.05,0.7,0.005
2017-01-04 15:00,8.7,2.8,250,32,67,47,0.03,0.032,0.6,0.005
2017-01-04 16:00,8.4,3.5,270,35,52,34,0.032,0.027,0.5,0.004
2017-01-04 17:00,6.6,2.5,270,37,52,32,0.027,0.032,0.5,0.004
2017-01-04 18:00,5.1,2.3,270,40,53,33,0.019,0.041,0.6,0.004
2017-01-04 19:00,4.6,2.5,290,42,50,32,0.012,0.048,0.6,0.004
2017-01-04 20:00,3.8,2.8,270,48,51,35,0.004,0.06,0.7,0.005
2017-01-04 21:00,2.9,1,110,45,54,34,0.003,0.06,0.7,0.005
2017-01-04 22:00,2.1,1,290,49,50,33,0.002,0.059,0.8,0.004
2017-01-04 23:00,1.8,0.4,0,51,50,33,0.002,0.06,0.8,0.004
